OTU ID,37,38,39,40,41,42,43,44,45,46,47,48,91,92,93,94,95,96,97,98,99,100,101,102,taxonomy
ASV34,110,138,47,103,106,103,100,0,73,182,24,114,49,20,22,208,110,94,50,107,104,263,54,131,d__Bacteria; p__Bacteroidetes; c__Chitinophagia; o__Chitinophagales; f__Chitinophagaceae; g__Flavisolibacter; s__uncultured Flavisolibacter sp.
ASV35,60,78,57,74,64,0,125,92,213,286,150,97,97,81,79,80,64,79,93,47,96,75,47,118,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__Sphingomonas sp. WX113
ASV36,0,0,244,117,71,150,194,140,92,142,132,137,68,68,72,57,98,80,86,54,82,54,44,90,d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas; s__uncultured Gemmatimonas sp.
ASV37,126,66,140,111,100,130,148,129,106,84,93,90,49,43,64,91,93,100,89,94,70,92,93,70,d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycolicibacterium; s__Mycolicibacterium komanii
ASV38,0,0,0,48,0,0,119,0,96,214,0,102,93,61,60,219,112,95,82,177,162,384,0,112,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Luteimonas; s__Luteimonas aestuarii
ASV39,123,64,66,110,81,71,0,133,116,25,96,85,64,73,131,140,88,122,159,185,74,49,48,67,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__uncultured Legionella sp.
ASV40,39,127,31,65,32,42,41,168,78,188,66,133,49,179,73,144,86,71,37,46,76,102,126,111,d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas; s__uncultured Gemmatimonas sp.
ASV41,68,0,84,44,105,101,163,91,150,150,124,158,56,29,77,74,87,65,101,72,98,55,62,96,d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas; s__uncultured Gemmatimonas sp.
ASV42,12,0,9,0,0,20,29,0,109,38,17,40,0,1379,0,7,58,11,27,17,8,18,15,30,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas nigrificans
ASV43,97,70,138,127,84,66,208,104,92,56,61,75,40,119,81,58,75,70,81,96,59,84,48,66,d__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter; s__uncultured Rubrobacter sp.
ASV44,58,47,94,86,78,64,35,168,84,39,103,89,85,154,62,117,86,61,144,126,79,19,0,62,d__Bacteria; p__Acidobacteria; c__Blastocatellia; o__norank; f__norank; g__Blastocatella; s__uncultured Blastocatella sp.
ASV45,113,32,0,111,53,47,0,154,120,125,50,64,69,119,52,128,89,154,168,101,43,16,37,52,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Rhodopseudomonas; s__uncultured Rhodopseudomonas sp.
ASV46,95,63,91,79,109,110,145,193,99,82,88,86,35,76,59,70,59,75,43,76,64,57,57,43,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__uncultured Lactobacillus sp.
ASV47,45,90,67,77,74,57,48,90,52,142,36,111,51,73,36,134,53,47,48,123,75,139,113,125,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Dyella; s__Dyella japonica
ASV48,118,57,23,73,118,36,47,149,37,55,130,111,118,70,41,77,110,83,51,67,71,45,133,112,d__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Thermosporotrichaceae; g__Thermosporothrix; s__uncultured Thermosporothrix sp.
ASV49,83,46,116,99,73,122,160,119,84,57,66,69,36,80,111,57,52,80,66,63,73,70,63,80,d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Solirubrobacter; s__uncultured Solirubrobacter sp.
ASV50,34,378,45,81,30,45,0,50,15,82,15,74,27,26,20,110,87,45,24,161,71,191,52,165,d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia; s__Massilia sp.
ASV51,86,89,31,175,116,74,85,110,37,75,45,119,48,50,53,95,57,42,61,91,41,75,58,103,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus sp. (in: Bacteria)
ASV52,96,0,289,95,100,0,129,163,0,0,0,131,32,68,61,69,55,121,52,112,71,75,55,47,d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosospira; s__uncultured Nitrosospira sp.
ASV53,0,113,287,0,0,119,332,0,122,86,127,0,69,48,64,69,47,120,60,66,34,37,107,0,d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae; g__Micromonospora; s__Micromonospora halotolerans
ASV54,116,75,174,83,92,105,111,77,103,69,59,89,50,52,60,35,62,51,67,59,38,62,49,33,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nevskiales; f__Sinobacteraceae; g__Steroidobacter; s__uncultured Steroidobacter sp.
ASV55,68,39,51,52,79,0,123,119,92,84,124,123,105,54,71,50,67,111,61,60,74,72,71,69,d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Solirubrobacter; s__uncultured Solirubrobacter sp.
ASV56,72,83,115,63,60,99,82,85,77,64,106,72,39,49,77,37,73,76,82,73,55,33,78,83,d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Chloroflexaceae; g__Chloroflexus; s__uncultured Chloroflexus sp.
ASV57,98,78,84,67,102,109,77,78,65,65,60,81,42,42,69,54,107,44,37,76,51,51,61,88,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__Bradyrhizobium ottawaense
ASV58,87,61,248,90,95,0,123,108,59,52,65,0,46,75,69,54,52,75,56,71,48,45,67,60,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__uncultured Hyphomicrobium sp.
ASV59,51,81,34,70,52,112,74,22,63,155,35,85,24,7,23,113,77,32,40,89,84,143,18,103,d__Bacteria; p__Bacteroidetes; c__Chitinophagia; o__Chitinophagales; f__Chitinophagaceae; g__Flavisolibacter; s__Flavisolibacter sp.
ASV60,61,0,47,35,79,53,62,92,93,48,39,62,99,67,88,72,173,42,56,149,72,25,44,58,d__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Eggerthellales; f__Eggerthellaceae; g__Eggerthella; s__uncultured Eggerthella sp.
ASV61,97,93,0,87,63,0,46,89,107,32,72,79,80,60,45,108,78,44,128,131,82,21,0,52,d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Desulfuromonadaceae; g__Pelobacter; s__uncultured Pelobacter sp.
ASV62,68,76,72,73,65,66,120,61,76,47,68,50,41,100,49,66,77,74,68,79,56,74,45,62,d__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter; s__uncultured Rubrobacter sp.
ASV63,49,60,84,58,96,107,63,102,47,48,109,51,109,37,51,39,48,59,38,86,65,35,87,63,d__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__uncultured Nitrospira sp.
ASV64,0,0,125,0,0,0,0,0,0,0,59,84,43,42,57,64,73,0,0,96,114,383,172,211,d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia; s__Massilia sp.
ASV65,71,57,26,57,55,87,128,48,118,135,82,56,41,0,87,50,38,0,54,64,93,175,27,35,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Lysobacter; s__Lysobacter sp.
ASV66,51,46,56,84,47,53,102,93,68,49,71,62,73,76,52,51,103,38,60,50,49,64,60,49,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Xanthomonas; s__uncultured Xanthomonas sp.
ASV67,138,68,160,147,61,129,78,58,52,148,86,60,0,9,0,29,0,301,0,0,16,26,0,106,d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia; s__Massilia sp.
ASV68,38,21,114,56,37,43,113,41,48,88,36,36,59,93,78,43,83,61,57,76,109,69,68,63,d__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__uncultured Nitrospira sp.
ASV69,49,37,0,41,45,0,0,70,80,115,63,66,67,100,53,64,131,62,94,47,85,65,74,82,d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus; s__uncultured Cupriavidus sp.
ASV70,68,0,92,62,73,171,114,0,85,54,87,94,60,34,68,54,60,62,38,69,55,36,86,36,d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Solirubrobacter; s__Solirubrobacter sp.
ASV71,0,47,0,51,55,140,71,0,79,119,167,93,59,176,21,28,46,36,31,0,44,101,37,54,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Metallibacterium; s__uncultured Metallibacterium sp.
ASV72,18,8,80,22,13,65,46,22,30,48,26,0,301,62,36,42,57,55,41,75,73,224,52,47,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Lysobacter; s__Lysobacter sp.
ASV73,49,160,0,274,142,169,117,167,0,0,120,0,0,72,71,0,26,73,20,57,0,0,0,0,d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Terrabacter; s__uncultured Terrabacter sp.
ASV74,51,77,0,84,101,73,60,62,69,119,49,94,62,0,40,81,40,60,57,42,54,90,0,75,d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Ramlibacter; s__Ramlibacter sp.
ASV75,54,34,30,57,51,24,29,43,78,41,39,64,31,74,54,137,46,112,192,133,50,12,24,51,d__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter; s__uncultured Rubrobacter sp.
ASV76,59,0,0,64,51,149,146,0,44,100,55,0,0,0,52,80,76,65,49,99,112,161,0,51,d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Ramlibacter; s__Ramlibacter sp.
ASV77,33,82,0,52,41,25,36,28,34,130,123,85,35,63,49,88,49,64,44,32,43,61,89,111,d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas; s__uncultured Gemmatimonas sp.
ASV78,0,101,82,0,0,137,0,41,0,46,629,66,39,15,0,38,0,0,0,0,40,0,0,64,d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia; s__Massilia sp.
ASV79,0,0,0,49,78,78,0,99,46,0,0,83,86,120,67,158,87,77,165,127,68,0,0,80,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Rhodopseudomonas; s__uncultured Rhodopseudomonas sp.
ASV80,29,32,45,68,77,58,0,0,90,70,127,91,39,54,47,82,63,83,118,60,56,0,68,54,d__Bacteria; p__Acidobacteria; c__Blastocatellia; o__norank; f__norank; g__Stenotrophobacter; s__Stenotrophobacter terrae
ASV81,103,96,0,25,63,92,74,105,107,82,83,61,43,45,46,44,56,51,51,22,0,41,70,62,d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas; s__uncultured Gemmatimonas sp.
ASV82,53,30,62,50,57,56,110,97,44,52,59,79,38,61,75,43,49,57,35,45,69,45,47,56,d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae; g__Conexibacter; s__uncultured Conexibacter sp.
ASV83,40,42,47,44,105,48,82,112,120,95,108,127,19,48,30,46,26,40,69,18,43,13,37,46,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Azospirillum; s__uncultured Azospirillum sp.
ASV84,129,49,59,30,116,0,141,0,87,98,0,123,16,37,38,59,25,67,48,91,56,66,70,44,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Microvirga; s__Microvirga arabica
ASV85,76,44,105,58,36,90,84,104,51,51,58,51,28,56,57,31,55,65,58,58,60,71,36,26,d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Thermoleophilales; f__Thermoleophilaceae; g__Thermoleophilum; s__uncultured Thermoleophilum sp.
ASV86,127,53,165,82,60,69,65,44,109,0,52,40,22,47,123,30,34,85,30,40,16,0,49,30,d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Intrasporangium; s__Intrasporangium mesophilum
ASV87,0,63,90,47,0,154,114,0,87,186,60,66,18,18,41,42,23,67,42,57,41,117,20,32,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__uncultured Sphingomonas sp.
ASV88,54,41,184,76,66,61,62,39,31,46,87,80,33,62,34,28,56,29,57,56,18,45,38,58,d__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Eggerthellales; f__Eggerthellaceae; g__Enterorhabdus; s__uncultured Enterorhabdus sp.
ASV89,18,20,0,248,335,339,33,46,30,25,30,209,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Limnobacter; s__Limnobacter litoralis
ASV90,109,0,94,21,82,0,47,97,115,130,136,97,0,41,34,83,38,0,37,0,29,57,0,32,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__Sphingomonas sp. URHD0077
ASV91,31,28,30,46,50,59,71,67,73,74,94,68,42,52,55,49,87,69,58,52,41,31,47,63,d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas; s__uncultured Gemmatimonas sp.
ASV92,125,70,116,0,0,107,98,0,122,0,0,143,32,49,79,54,0,0,63,62,60,54,0,79,d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Marmoricola; s__Marmoricola sp.
ASV93,26,61,142,0,0,66,0,78,35,51,16,91,195,50,12,96,43,37,25,26,58,82,68,47,d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia; s__uncultured Massilia sp.
